Image,Percentage
Raspberry Pi OS (32-bit),47.56%
Raspberry Pi OS Lite (32-bit),15.06%
Raspberry Pi OS Full (32-bit),9.89%
Ubuntu Desktop 20.10 (RPi 4/400),5.70%
RetroPie 4.7.1 (RPI 4/400),2.68%
Raspberry Pi 4 EEPROM boot recovery,2.23%
Ubuntu Server 20.04.1 LTS (RPi 3/4),2.21%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),2.04%
Recalbox 7.1.1-Reloaded (Pi 3),1.80%
Ubuntu Server 20.10 (RPi 3/4/400),1.67%
RetroPie 4.7.1 (RPI 2/3),1.59%
LibreELEC (RPi4),1.53%
LibreELEC (RPi2/RPi3),1.25%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.90%
RISC OS (5.28),0.88%
RetroPie 4.7.1 (RPI 1/Zero),0.68%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.57%
Ubuntu Core 18 (RPi 3/4),0.48%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.40%
LibreELEC (RPi0/RPi1),0.28%
Ubuntu Core 18 (RPi 2/3/4),0.28%
Recalbox 7.1.1-Reloaded (Pi 2),0.19%
TLXOS RPi 4.9.2 (latest),0.11%
TLXOS RPi 4.8.0 (LTS),0.02%
TLXOS RPi IoT 4.8.0 (LTS),0.01%
