Image,Percentage
Raspberry Pi OS (32-bit),47.06%
Raspberry Pi OS Lite (32-bit),14.90%
Raspberry Pi OS Full (32-bit),9.96%
Ubuntu Desktop 20.10 (RPi 4/400),5.70%
RetroPie 4.7.1 (RPI 4/400),2.73%
Raspberry Pi 4 EEPROM boot recovery,2.26%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),2.02%
Ubuntu Server 20.04.1 LTS (RPi 3/4),1.90%
Recalbox 7.1.1-Reloaded (Pi 3),1.87%
Ubuntu Server 20.10 (RPi 3/4/400),1.65%
RetroPie 4.7.1 (RPI 2/3),1.62%
LibreELEC (RPi4),1.58%
LibreELEC (RPi2/RPi3),1.30%
RISC OS (5.28),0.96%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.94%
RetroPie 4.7.1 (RPI 1/Zero),0.69%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.53%
Ubuntu Core 18 (RPi 3/4),0.50%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.42%
Ubuntu Core 18 (RPi 2/3/4),0.31%
LibreELEC (RPi0/RPi1),0.31%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),0.30%
Recalbox 7.1.1-Reloaded (Pi 2),0.23%
Ubuntu Server 20.04.2 LTS (RPi 3/4),0.08%
TLXOS RPi 4.9.2 (latest),0.07%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.07%
TLXOS RPi 4.9.3 (latest),0.02%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4),0.01%
TLXOS RPi 4.8.0 (LTS),0.01%
TLXOS RPi IoT 4.8.0 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.00%
TLXOS RPi 4.8.1 (LTS),0.00%
