Image,Percentage
Raspberry Pi OS (32-bit),42.47%
Raspberry Pi OS Lite (32-bit),14.27%
Raspberry Pi OS Full (32-bit),9.34%
Ubuntu Desktop 20.10 (RPi 4/400),5.02%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.33%
RetroPie 4.7.1 (RPI 4/400),2.61%
USB Boot,2.25%
SD Card Boot,1.89%
Ubuntu Server 20.10 (RPi 3/4/400),1.69%
RetroPie 4.7.1 (RPI 2/3),1.65%
LibreELEC (RPi4),1.41%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.38%
Recalbox 7.1.1-Reloaded (Pi 3),1.35%
Ubuntu Desktop 21.04 (RPi 4/400),1.20%
LibreELEC (RPi2/RPi3),1.16%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.89%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.89%
RetroPie 4.7.1 (RPI 1/Zero),0.68%
RISC OS (5.28),0.65%
Ubuntu Core 18 (RPi 3/4),0.53%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.51%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.46%
OctoPi,0.45%
Ubuntu Server 21.04 (RPi 3/4/400),0.43%
Recalbox 7.2-Reloaded - Pi4 / Pi400,0.38%
Ubuntu Core 18 (RPi 2/3/4),0.33%
Recalbox 7.2-Reloaded - Pi3,0.30%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.30%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.29%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.27%
LibreELEC (RPi0/RPi1),0.27%
Ubuntu Server 21.04 (RPi 2/3/4/400),0.19%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.18%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.15%
Network Boot,0.14%
Recalbox 7.1.1-Reloaded (Pi 2),0.14%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.11%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.11%
info-beamer OS,0.07%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.06%
TLXOS RPi 4.9.3 (latest),0.05%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.04%
ALT Education 9.1 (Raspberry Pi 4/3),0.03%
Recalbox 7.2-Reloaded - Pi2,0.02%
Simply Linux 9.0 (Raspberry Pi 4),0.02%
OctoPi (mirror),0.02%
TLXOS RPi 4.8.1 (LTS),0.01%
info-beamer OS (testing),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.00%
Raspberry Pi 4 EEPROM boot recovery,0.00%
