Image,Percentage
Raspberry Pi OS (32-bit),43.20%
Raspberry Pi OS Lite (32-bit),14.33%
Raspberry Pi OS Full (32-bit),9.58%
Ubuntu Desktop 20.10 (RPi 4/400),5.95%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.17%
RetroPie 4.7.1 (RPI 4/400),2.63%
USB Boot,2.25%
Ubuntu Server 20.10 (RPi 3/4/400),1.94%
SD Card Boot,1.87%
RetroPie 4.7.1 (RPI 2/3),1.67%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.55%
Recalbox 7.1.1-Reloaded (Pi 3),1.51%
LibreELEC (RPi4),1.43%
LibreELEC (RPi2/RPi3),1.19%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.03%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.96%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.84%
RISC OS (5.28),0.69%
RetroPie 4.7.1 (RPI 1/Zero),0.69%
Ubuntu Core 18 (RPi 3/4),0.54%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.52%
OctoPi,0.43%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.34%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.33%
Ubuntu Core 18 (RPi 2/3/4),0.30%
LibreELEC (RPi0/RPi1),0.26%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.21%
Recalbox 7.1.1-Reloaded (Pi 2),0.17%
Network Boot,0.16%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.06%
TLXOS RPi 4.9.3 (latest),0.05%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.04%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.02%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
Simply Linux 9.0 (Raspberry Pi 4),0.02%
OctoPi (mirror),0.02%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
Raspberry Pi 4 EEPROM boot recovery,0.00%
