Image,Percentage
Raspberry Pi OS (32-bit),43.37%
Raspberry Pi OS Lite (32-bit),14.31%
Raspberry Pi OS Full (32-bit),9.62%
Ubuntu Desktop 20.10 (RPi 4/400),5.92%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.10%
RetroPie 4.7.1 (RPI 4/400),2.63%
USB Boot,2.21%
Ubuntu Server 20.10 (RPi 3/4/400),1.91%
SD Card Boot,1.88%
RetroPie 4.7.1 (RPI 2/3),1.67%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.55%
Recalbox 7.1.1-Reloaded (Pi 3),1.51%
LibreELEC (RPi4),1.43%
LibreELEC (RPi2/RPi3),1.18%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),1.02%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.02%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.82%
RISC OS (5.28),0.70%
RetroPie 4.7.1 (RPI 1/Zero),0.69%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.55%
Ubuntu Core 18 (RPi 3/4),0.54%
OctoPi,0.41%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.36%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.34%
Ubuntu Core 18 (RPi 2/3/4),0.30%
LibreELEC (RPi0/RPi1),0.26%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.22%
Recalbox 7.1.1-Reloaded (Pi 2),0.16%
Network Boot,0.16%
TLXOS RPi 4.9.3 (latest),0.05%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.02%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
Simply Linux 9.0 (Raspberry Pi 4),0.02%
OctoPi (mirror),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
Raspberry Pi 4 EEPROM boot recovery,0.00%
