Image,Percentage
Raspberry Pi OS (32-bit),46.20%
Raspberry Pi OS Lite (32-bit),14.65%
Raspberry Pi OS Full (32-bit),9.97%
Ubuntu Desktop 20.10 (RPi 4/400),5.90%
RetroPie 4.7.1 (RPI 4/400),2.76%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.60%
Raspberry Pi 4 EEPROM boot recovery,2.60%
RetroPie 4.7.1 (RPI 2/3),1.85%
Ubuntu Server 20.10 (RPi 3/4/400),1.73%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.72%
Recalbox 7.1.1-Reloaded (Pi 3),1.61%
LibreELEC (RPi4),1.56%
LibreELEC (RPi2/RPi3),1.43%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.95%
RISC OS (5.28),0.90%
RetroPie 4.7.1 (RPI 1/Zero),0.76%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.72%
Ubuntu Core 18 (RPi 3/4),0.56%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.39%
Ubuntu Core 18 (RPi 2/3/4),0.33%
LibreELEC (RPi0/RPi1),0.28%
Recalbox 7.1.1-Reloaded (Pi 2),0.21%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.12%
TLXOS RPi 4.9.3 (latest),0.06%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.04%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.03%
TLXOS RPi IoT 4.8.1 (LTS),0.03%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.02%
TLXOS RPi 4.8.1 (LTS),0.02%
