Image,Percentage
Raspberry Pi OS (32-bit),38.74%
Raspberry Pi OS Lite (32-bit),14.58%
Raspberry Pi OS Full (32-bit),8.47%
Ubuntu Desktop 21.04 (RPi 4/400),6.14%
OctoPi,4.60%
Ubuntu Server 20.04.3 LTS (RPi 3/4/400),3.39%
USB Boot,3.08%
Ubuntu Server 21.04 (RPi 3/4/400),2.39%
RetroPie 4.7.1 (RPI 4/400),2.03%
SD Card Boot,1.92%
LibreELEC (RPi4),1.42%
RetroPie 4.7.1 (RPI 2/3),1.35%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.13%
Recalbox 7.2.2-Reloaded - Pi4 / Pi400,1.12%
Recalbox 7.2.2-Reloaded - Pi3,1.10%
Homebridge,0.91%
Ubuntu Server 20.04.3 LTS (RPi 2/3/4/400),0.87%
Manjaro ARM KDE Plasma 21.08 (RPi 3/3+/4/400),0.74%
Home Assistant OS 6.2 (RPi 4/400),0.67%
OSMC (Pi 2/3),0.64%
RISC OS (5.28),0.58%
Manjaro ARM XFCE 21.08 (RPi 3/3+/4/400),0.51%
OSMC (Pi 4 / Pi 400),0.49%
RetroPie 4.7.1 (RPI 1/Zero),0.46%
Ubuntu Core 20 (RPi 3/4),0.41%
Home Assistant OS 6.2 (RPi 3),0.35%
Ubuntu Core 20 (RPi 2/3/4),0.24%
Manjaro ARM Gnome 21.08 (RPi 3/3+/4/400),0.21%
Recalbox 7.2.2-Reloaded - Pi0 / Pi1 / GPiCase,0.21%
Manjaro ARM MATE 21.08 (RPi 3/3+/4/400),0.20%
Manjaro ARM Minimal 21.08 (RPi 3/3+/4/400),0.18%
OSMC (Pi 0/1),0.16%
Network Boot,0.16%
info-beamer OS,0.13%
Recalbox 7.2.2-Reloaded - Pi2,0.10%
OctoPi (mirror),0.10%
Manjaro ARM Sway 21.08 (RPi 3/3+/4/400),0.09%
TLXOS RPi 4.10.0 (latest),0.04%
ALT Workstation 9.2 (Raspberry Pi 4/3),0.03%
info-beamer OS (testing),0.02%
Simply Linux 9.1 (Raspberry Pi 4/3),0.01%
ALT Education 9.2 (Raspberry Pi 4/3),0.01%
TLXOS RPi 4.8.2 (LTS),0.00%
TLXOS RPi IoT 4.8.2 (LTS),0.00%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.00%
