Image,Percentage
Raspberry Pi OS (32-bit),41.05%
Raspberry Pi OS Lite (32-bit),13.77%
Raspberry Pi OS Full (32-bit),8.93%
Ubuntu Desktop 21.04 (RPi 4/400),7.29%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.55%
Ubuntu Server 21.04 (RPi 3/4/400),2.54%
RetroPie 4.7.1 (RPI 4/400),2.47%
SD Card Boot,2.30%
USB Boot,1.94%
RetroPie 4.7.1 (RPI 2/3),1.60%
LibreELEC (RPi4),1.31%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.19%
LibreELEC (RPi2/RPi3),1.08%
Recalbox 7.2-Reloaded - Pi4 / Pi400,1.02%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.92%
Recalbox 7.2-Reloaded - Pi3,0.92%
Recalbox 7.2.1-Reloaded - Pi4 / Pi400,0.88%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.87%
Recalbox 7.2.1-Reloaded - Pi3,0.81%
RISC OS (5.28),0.66%
RetroPie 4.7.1 (RPI 1/Zero),0.65%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.55%
Homebridge,0.54%
Ubuntu Core 18 (RPi 3/4),0.52%
OctoPi,0.44%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.34%
Ubuntu Core 18 (RPi 2/3/4),0.29%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.25%
LibreELEC (RPi0/RPi1),0.24%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.22%
info-beamer OS,0.18%
Recalbox 7.2.1-Reloaded - Pi0 / Pi1 / GPiCase,0.18%
Network Boot,0.16%
Recalbox 7.2.1-Reloaded - Pi2,0.09%
Recalbox 7.2-Reloaded - Pi2,0.07%
TLXOS RPi 4.9.3 (latest),0.05%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
info-beamer OS (testing),0.02%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
Simply Linux 9.1 (Raspberry Pi 4/3),0.02%
TLXOS RPi 4.8.1 (LTS),0.01%
OctoPi (mirror),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
