Image,Percentage
Raspberry Pi OS (32-bit),46.21%
Raspberry Pi OS Lite (32-bit),14.62%
Raspberry Pi OS Full (32-bit),9.99%
Ubuntu Desktop 20.10 (RPi 4/400),5.91%
RetroPie 4.7.1 (RPI 4/400),2.74%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.60%
Raspberry Pi 4 EEPROM boot recovery,2.44%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.86%
RetroPie 4.7.1 (RPI 2/3),1.81%
Ubuntu Server 20.10 (RPi 3/4/400),1.73%
Recalbox 7.1.1-Reloaded (Pi 3),1.71%
LibreELEC (RPi4),1.61%
LibreELEC (RPi2/RPi3),1.40%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.99%
RISC OS (5.28),0.97%
RetroPie 4.7.1 (RPI 1/Zero),0.73%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.71%
Ubuntu Core 18 (RPi 3/4),0.54%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.41%
Ubuntu Core 18 (RPi 2/3/4),0.35%
LibreELEC (RPi0/RPi1),0.30%
Recalbox 7.1.1-Reloaded (Pi 2),0.20%
TLXOS RPi 4.9.3 (latest),0.07%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.03%
TLXOS RPi 4.8.1 (LTS),0.02%
TLXOS RPi IoT 4.8.1 (LTS),0.02%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.01%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.01%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.01%
