Image,Percentage
Raspberry Pi OS (32-bit),42.06%
Raspberry Pi OS Lite (32-bit),13.99%
Raspberry Pi OS Full (32-bit),9.26%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.46%
Ubuntu Desktop 21.04 (RPi 4/400),3.38%
Ubuntu Desktop 20.10 (RPi 4/400),3.29%
RetroPie 4.7.1 (RPI 4/400),2.59%
USB Boot,2.09%
SD Card Boot,2.00%
RetroPie 4.7.1 (RPI 2/3),1.63%
LibreELEC (RPi4),1.37%
Ubuntu Server 21.04 (RPi 3/4/400),1.18%
LibreELEC (RPi2/RPi3),1.14%
Ubuntu Server 20.10 (RPi 3/4/400),1.11%
Recalbox 7.2-Reloaded - Pi4 / Pi400,0.94%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),0.91%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.90%
Recalbox 7.1.1-Reloaded (Pi 3),0.86%
Recalbox 7.2-Reloaded - Pi3,0.84%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.76%
RetroPie 4.7.1 (RPI 1/Zero),0.66%
RISC OS (5.28),0.64%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.58%
Ubuntu Server 21.04 (RPi 2/3/4/400),0.54%
Ubuntu Core 18 (RPi 3/4),0.53%
OctoPi,0.45%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.44%
Ubuntu Core 18 (RPi 2/3/4),0.32%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.25%
LibreELEC (RPi0/RPi1),0.25%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.19%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.19%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.18%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.18%
Network Boot,0.14%
info-beamer OS,0.13%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.11%
Recalbox 7.1.1-Reloaded (Pi 2),0.09%
Recalbox 7.2-Reloaded - Pi2,0.07%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.07%
TLXOS RPi 4.9.3 (latest),0.05%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.04%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
Homebridge,0.03%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
OctoPi (mirror),0.02%
Simply Linux 9.0 (Raspberry Pi 4),0.02%
info-beamer OS (testing),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.00%
Simply Linux 9.1 (Raspberry Pi 4/3),0.00%
