Image,Percentage
Raspberry Pi OS (32-bit),38.51%
Raspberry Pi OS Lite (32-bit),15.41%
Raspberry Pi OS Full (32-bit),8.19%
Ubuntu Desktop 21.04 (RPi 4/400),5.92%
OctoPi,4.83%
Ubuntu Server 20.04.3 LTS (RPi 3/4/400),3.20%
USB Boot,2.97%
Ubuntu Server 21.04 (RPi 3/4/400),2.38%
RetroPie 4.7.1 (RPI 4/400),1.95%
SD Card Boot,1.81%
LibreELEC (RPi4),1.42%
RetroPie 4.7.1 (RPI 2/3),1.40%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.12%
Recalbox 7.2.2-Reloaded - Pi3,1.09%
Recalbox 7.2.2-Reloaded - Pi4 / Pi400,1.04%
Homebridge,0.93%
Ubuntu Server 20.04.3 LTS (RPi 2/3/4/400),0.88%
Manjaro ARM KDE Plasma 21.08 (RPi 3/3+/4/400),0.72%
Home Assistant OS 6.2 (RPi 4/400),0.70%
OSMC (Pi 2/3),0.70%
RISC OS (5.28),0.54%
RetroPie 4.7.1 (RPI 1/Zero),0.52%
Manjaro ARM XFCE 21.08 (RPi 3/3+/4/400),0.51%
OSMC (Pi 4 / Pi 400),0.50%
Ubuntu Core 20 (RPi 3/4),0.44%
Home Assistant OS 6.2 (RPi 3),0.37%
Ubuntu Core 20 (RPi 2/3/4),0.25%
Recalbox 7.2.2-Reloaded - Pi0 / Pi1 / GPiCase,0.23%
Manjaro ARM MATE 21.08 (RPi 3/3+/4/400),0.20%
Manjaro ARM Gnome 21.08 (RPi 3/3+/4/400),0.20%
OSMC (Pi 0/1),0.16%
Manjaro ARM Minimal 21.08 (RPi 3/3+/4/400),0.16%
Network Boot,0.15%
info-beamer OS,0.14%
OctoPi (mirror),0.12%
Recalbox 7.2.2-Reloaded - Pi2,0.11%
Manjaro ARM Sway 21.08 (RPi 3/3+/4/400),0.09%
TLXOS RPi 4.10.0 (latest),0.05%
ALT Workstation 9.2 (Raspberry Pi 4/3),0.03%
info-beamer OS (testing),0.02%
Simply Linux 9.1 (Raspberry Pi 4/3),0.02%
TLXOS RPi 4.8.2 (LTS),0.01%
ALT Education 9.2 (Raspberry Pi 4/3),0.01%
TLXOS RPi IoT 4.8.2 (LTS),0.00%
