Image,Percentage
Raspberry Pi OS (32-bit),45.58%
Raspberry Pi OS Lite (32-bit),14.39%
Raspberry Pi OS Full (32-bit),9.98%
Ubuntu Desktop 20.10 (RPi 4/400),5.76%
RetroPie 4.7.1 (RPI 4/400),2.74%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.59%
RetroPie 4.7.1 (RPI 2/3),1.84%
Raspberry Pi 4 EEPROM boot recovery,1.72%
Ubuntu Server 20.10 (RPi 3/4/400),1.72%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.69%
LibreELEC (RPi4),1.56%
Recalbox 7.1.1-Reloaded (Pi 3),1.56%
LibreELEC (RPi2/RPi3),1.38%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.94%
RISC OS (5.28),0.86%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.74%
RetroPie 4.7.1 (RPI 1/Zero),0.73%
SD Card Boot,0.65%
USB Boot,0.64%
Ubuntu Core 18 (RPi 3/4),0.53%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.53%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.37%
Ubuntu Core 18 (RPi 2/3/4),0.31%
LibreELEC (RPi0/RPi1),0.27%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.24%
Recalbox 7.1.1-Reloaded (Pi 2),0.20%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.17%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.10%
Network Boot,0.07%
TLXOS RPi 4.9.3 (latest),0.07%
TLXOS RPi 4.8.1 (LTS),0.03%
TLXOS RPi IoT 4.8.1 (LTS),0.02%
OctoPi,0.02%
