Image,Percentage
Raspberry Pi OS (32-bit),47.08%
Raspberry Pi OS Lite (32-bit),14.46%
Raspberry Pi OS Full (32-bit),10.09%
Ubuntu Desktop 20.10 (RPi 4/400),5.78%
RetroPie 4.7.1 (RPI 4/400),3.07%
Raspberry Pi 4 EEPROM boot recovery,2.31%
Ubuntu Server 20.04.1 LTS (RPi 3/4),2.11%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),2.08%
Recalbox 7.1.1-Reloaded (Pi 3),1.83%
RetroPie 4.7.1 (RPI 2/3),1.69%
LibreELEC (RPi4),1.63%
Ubuntu Server 20.10 (RPi 3/4/400),1.63%
LibreELEC (RPi2/RPi3),1.33%
RISC OS (5.28),0.94%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.90%
RetroPie 4.7.1 (RPI 1/Zero),0.72%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.58%
Ubuntu Core 18 (RPi 3/4),0.45%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.40%
LibreELEC (RPi0/RPi1),0.30%
Ubuntu Core 18 (RPi 2/3/4),0.28%
Recalbox 7.1.1-Reloaded (Pi 2),0.23%
TLXOS RPi 4.9.2 (latest),0.09%
TLXOS RPi 4.8.0 (LTS),0.01%
TLXOS RPi IoT 4.8.0 (LTS),0.01%
