Image,Percentage
Raspberry Pi OS (32-bit),41.96%
Raspberry Pi OS Lite (32-bit),14.06%
Raspberry Pi OS Full (32-bit),9.27%
Ubuntu Desktop 20.10 (RPi 4/400),3.86%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.41%
Ubuntu Desktop 21.04 (RPi 4/400),2.68%
RetroPie 4.7.1 (RPI 4/400),2.62%
USB Boot,2.15%
SD Card Boot,1.95%
RetroPie 4.7.1 (RPI 2/3),1.67%
LibreELEC (RPi4),1.40%
Ubuntu Server 20.10 (RPi 3/4/400),1.30%
LibreELEC (RPi2/RPi3),1.18%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.08%
Recalbox 7.1.1-Reloaded (Pi 3),1.07%
Ubuntu Server 21.04 (RPi 3/4/400),0.94%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.91%
Recalbox 7.2-Reloaded - Pi4 / Pi400,0.77%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.70%
Recalbox 7.2-Reloaded - Pi3,0.70%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.68%
RetroPie 4.7.1 (RPI 1/Zero),0.68%
RISC OS (5.28),0.64%
Ubuntu Core 18 (RPi 3/4),0.54%
OctoPi,0.45%
Ubuntu Server 21.04 (RPi 2/3/4/400),0.43%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.39%
Ubuntu Core 18 (RPi 2/3/4),0.33%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.30%
LibreELEC (RPi0/RPi1),0.25%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.23%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.22%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.17%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.16%
Network Boot,0.15%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.14%
Recalbox 7.1.1-Reloaded (Pi 2),0.11%
info-beamer OS,0.10%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.10%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.06%
Recalbox 7.2-Reloaded - Pi2,0.06%
TLXOS RPi 4.9.3 (latest),0.04%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.04%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
Simply Linux 9.0 (Raspberry Pi 4),0.02%
OctoPi (mirror),0.02%
info-beamer OS (testing),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.00%
Simply Linux 9.1 (Raspberry Pi 4/3),0.00%
Raspberry Pi 4 EEPROM boot recovery,0.00%
