Image,Percentage
Raspberry Pi OS (32-bit),46.06%
Raspberry Pi OS Lite (32-bit),14.57%
Raspberry Pi OS Full (32-bit),9.98%
Ubuntu Desktop 20.10 (RPi 4/400),5.99%
RetroPie 4.7.1 (RPI 4/400),2.88%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.70%
Raspberry Pi 4 EEPROM boot recovery,2.45%
RetroPie 4.7.1 (RPI 2/3),1.86%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.83%
Ubuntu Server 20.10 (RPi 3/4/400),1.79%
Recalbox 7.1.1-Reloaded (Pi 3),1.63%
LibreELEC (RPi4),1.61%
LibreELEC (RPi2/RPi3),1.35%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.00%
RISC OS (5.28),1.00%
RetroPie 4.7.1 (RPI 1/Zero),0.73%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.69%
Ubuntu Core 18 (RPi 3/4),0.54%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.43%
Ubuntu Core 18 (RPi 2/3/4),0.31%
LibreELEC (RPi0/RPi1),0.29%
Recalbox 7.1.1-Reloaded (Pi 2),0.20%
TLXOS RPi 4.9.3 (latest),0.05%
TLXOS RPi 4.8.1 (LTS),0.02%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
