Image,Percentage
Raspberry Pi OS (32-bit),46.22%
Raspberry Pi OS Lite (32-bit),14.59%
Raspberry Pi OS Full (32-bit),9.91%
Ubuntu Desktop 20.10 (RPi 4/400),6.02%
RetroPie 4.7.1 (RPI 4/400),2.87%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.64%
Raspberry Pi 4 EEPROM boot recovery,2.49%
Ubuntu Server 20.10 (RPi 3/4/400),1.83%
RetroPie 4.7.1 (RPI 2/3),1.83%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.81%
Recalbox 7.1.1-Reloaded (Pi 3),1.58%
LibreELEC (RPi4),1.53%
LibreELEC (RPi2/RPi3),1.37%
RISC OS (5.28),0.99%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.97%
RetroPie 4.7.1 (RPI 1/Zero),0.75%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.73%
Ubuntu Core 18 (RPi 3/4),0.56%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.43%
Ubuntu Core 18 (RPi 2/3/4),0.32%
LibreELEC (RPi0/RPi1),0.28%
Recalbox 7.1.1-Reloaded (Pi 2),0.20%
TLXOS RPi 4.9.3 (latest),0.05%
TLXOS RPi IoT 4.8.1 (LTS),0.02%
TLXOS RPi 4.8.1 (LTS),0.02%
